;nodAseq1;nodAseq2;nodAseq3;nodAseq4;nodAseq5;nodAseq6;nodAseq8;nodAseq9;nodAseq10;nodAseq11;nodAseq12;nodAseq13;nodAseq14;nodAseq15;nodAseq16;nodAseq17;nodAseq18;nodAseq19;nodAseq20;nodAseq21;nodAseq22;nodDseq1;nodDseq2;nodDseq3;nodDseq5;nodDseq6;nodDseq7;nodDseq8;nodDseq10;nodDseq11;nodDseq12;nodDseq13;nodDseq14;nodDseq16;nodDseq17;nodDseq18;nodDseq19;nodDseq20;recAseq1;recAseq2;recAseq3;recAseq4;recAseq5;recAseq6;recAseq7;recAseq8;recAseq9;recAseq10;recAseq11;recAseq12;recAseq13;rpoBseq1;rpoBseq2;rpoBseq3;rpoBseq4;rpoBseq5;rpoBseq6;rpoBseq7;rpoBseq8;rpoBseq9;rpoBseq10;rpoBseq11;rpoBseq12;rpoBseq13;rpoBseq14;rpoBseq15;rpoBseq16
126;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;22;0;0;15;0;4;0;0;0;0;0;0;0;62;27;0;0;0;0;13;0;0;0;0;0;0;0;0;0
127;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;68;0;0;9;0;0;0;0;0;0;0;0;0;86;71;0;0;0;0;7;0;0;0;0;0;0;0;0;0
128;44;0;0;24;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;3;0;0;0;0;0;0;0;0;0;115;141;0;0;0;0;1;0;0;0;0;0;0;0;0;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;12;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;31;0;0;17;0;7;0;0;0;0;0;0;0;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
131;0;69;0;0;0;67;0;0;0;13;6;0;0;2;0;0;0;0;0;0;0;67;0;0;38;0;3;0;0;1;1;0;0;0;0;0;1;1;0;419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0;27;0;0;0;1;0;0;0;0;0;0
132;0;117;0;0;0;6;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;84;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;15;0;0;0;4;0;0;0;0;0;0
133;0;384;2;0;0;30;0;0;0;5;6;0;0;0;0;0;0;0;0;0;0;1330;0;0;51;0;2;0;0;0;12;0;0;0;0;0;1;1;0;609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;4;0;0;0;0;0;0
134;0;326;0;0;2;14;0;0;0;7;8;0;0;0;0;0;0;2;0;0;0;385;0;0;22;0;7;0;0;0;6;0;0;0;0;0;2;2;0;479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
135;0;472;0;0;4;21;0;0;0;6;7;0;0;1;0;0;0;2;0;0;0;768;0;0;19;0;7;0;0;6;5;0;0;1;0;0;2;2;0;558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
