;196;MAUI
nodD;0;0
nodD;0,244444444;0,415814397
nodD;0,17037037;0,129345948
nodD;0,133333333;0,009939442
nodD;0;0,000162813
nodD;0,040740741;0,17573757
nodD;0,011111111;0,098417383
nodD;0;0,047843056
nodD;0,011111111;0,025947297
nodD;0;0
nodD;0,181481481;0,080223825
nodD;0;0
nodD;0;0,00507063
nodD;0,055555556;0,003363363
nodD;0,133333333;0,00791806
nodD;0;0,000216216
nodD;0;0
nodD;0,011111111;0
