   	   	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21
158_nodd	158	0	20	11	0	0	14	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0
159_nodd	159	0	47	3	2	0	7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
160_nodd	160	0	10	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
161_nodd	161	5	15	2	2	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
162_nodd	162	0	31	1	3	0	47	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
163_nodd	163	0	26	40	0	0	52	0	0	0	0	1	0	0	2	4	0	0	0	0	0	0
164_nodd	164	0	8	3	2	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
165_nodd	165	0	33	1	3	0	4	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
166_nodd	166	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167_nodd	167	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
168_nodd	168	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169_nodd	169	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170_nodd	170	3	13	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seconds	seconds	3	4	8	8	53	0	25	1	3	0	15	29	1	0	1	12	1	2	6	11	2
total	total	13035	3335	591	442	427	384	382	285	182	170	109	108	105	56	42	37	34	29	27	20	20
