	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21
76_nodd	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
77_nodd	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78_nodd	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79_nodd	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7_nodd	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
80_nodd	0	5	0	4	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	
81_nodd	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
82_nodd	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	
83_nodd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
84_nodd	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
85_nodd	0	23	0	8	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
86_nodd	0	3	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	
87_nodd	0	13	0	3	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	
88_nodd	0	86	0	6	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	
89_nodd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8_nodd	0	2	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
90_nodd	0	33	0	10	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	
91_nodd	67	0	0	0	38	0	3	0	0	0	1	1	0	0	0	0	0	0	1	1	0	
92_nodd	84	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93_nodd	1330	0	0	0	51	0	2	0	0	0	0	12	0	0	0	0	0	0	1	1	1	
94_nodd	385	0	0	0	22	0	7	0	0	0	0	6	0	0	0	0	0	0	2	2	0	
95_nodd	768	0	0	0	19	0	7	0	0	0	6	5	0	0	0	1	0	0	2	2	0	
96_nodd	404	0	0	0	20	0	3	0	0	0	0	8	0	0	0	0	0	1	3	0	0	
97_nodd	695	0	0	0	7	0	8	0	0	0	0	7	0	0	0	3	0	0	1	3	0	
98_nodd	383	0	0	0	6	0	1	0	0	0	0	4	0	0	0	2	0	0	1	0	0	
99_nodd	84	0	0	0	11	0	1	0	0	0	8	1	0	0	0	0	0	0	0	1	0	
9_nodd	0	44	48	1	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	
total	13035	3335	591	442	427	384	382	285	182	170	109	108	105	56	42	37	34	29	27	20	20
seconds	3	4	8	8	53	0	25	1	3	0	15	29	1	0	1	12	1	2	6	11	2
