		seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16
79_rpob	79	49	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0
80_rpob	80	55	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81_rpob	81	81	36	0	0	0	0	12	0	0	0	0	0	0	0	0	0
82_rpob	82	24	11	1	0	0	0	1	0	0	0	0	0	0	0	0	0
83_rpob	83	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84_rpob	84	8	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
85_rpob	85	67	36	0	0	0	0	1	0	0	0	0	0	0	0	0	0
86_rpob	86	62	27	0	0	0	0	13	0	0	0	0	0	0	0	0	0
87_rpob	87	86	71	0	0	0	0	7	0	0	0	0	0	0	0	0	0
88_rpob	88	115	141	0	0	0	0	1	0	0	0	0	0	0	0	0	0
89_rpob	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90_rpob	90	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
91_rpob	91	0	0	0	132	0	27	0	0	0	1	0	0	0	0	0	0
92_rpob	92	0	0	0	43	0	15	0	0	0	4	0	0	0	0	0	0
93_rpob	93	0	0	0	8	0	2	0	0	0	4	0	0	0	0	0	0
94_rpob	94	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
95_rpob	95	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
96_rpob	96	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
97_rpob	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98_rpob	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99_rpob	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100_rpob	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101_rpob	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102_rpob	102	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
103_rpob	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104_rpob	104	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
105_rpob	105	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
106_rpob	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107_rpob	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108_rpob	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109_rpob	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110_rpob	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111_rpob	111	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
112_rpob	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113_rpob	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114_rpob	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115_rpob	115	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
116_rpob	116	0	0	0	52	0	34	0	0	0	10	0	0	0	0	0	0
117_rpob	117	0	0	0	62	0	13	0	0	0	11	0	0	0	0	0	0
118_rpob	118	0	0	0	32	0	65	0	0	0	4	0	0	0	0	0	0
119_rpob	119	0	0	0	113	0	61	0	0	0	15	0	0	0	0	0	0
120_rpob	120	0	0	0	54	0	6	0	0	0	7	0	0	0	0	0	0
121_rpob	121	0	0	0	5	0	3	0	0	0	1	0	0	0	0	0	0
122_rpob	122	0	0	0	7	0	3	0	0	0	1	0	0	0	0	0	0
123_rpob	123	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
124_rpob	124	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0
125_rpob	125	0	0	0	24	0	19	0	0	0	10	0	0	0	0	0	0
126_rpob	126	0	0	0	96	0	23	0	0	0	10	0	0	0	0	0	0
127_rpob	127	0	0	0	99	0	67	0	0	0	15	0	0	0	0	0	0
128_rpob	128	0	0	0	53	0	7	0	0	0	5	0	0	0	0	0	0
129_rpob	129	0	0	0	27	0	88	0	0	0	28	0	0	0	0	0	0
130_rpob	130	0	0	0	29	0	35	0	0	0	31	0	0	0	0	0	0
131_rpob	131	129	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132_rpob	132	18	4	0	0	0	0	1	0	0	0	0	1	0	0	0	2
133_rpob	133	154	33	0	0	0	0	2	0	0	0	0	4	0	0	0	2
134_rpob	134	41	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135_rpob	135	89	21	0	0	0	0	1	0	0	0	0	0	0	0	0	0
136_rpob	136	56	25	0	0	0	0	1	0	0	0	0	2	0	0	0	3
137_rpob	137	34	51	0	0	0	0	1	0	0	0	0	0	0	0	0	0
138_rpob	138	31	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139_rpob	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140_rpob	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141_rpob	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142_rpob	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143_rpob	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144_rpob	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145_rpob	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146_rpob	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147_rpob	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148_rpob	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149_rpob	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150_rpob	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151_rpob	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152_rpob	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153_rpob	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154_rpob	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155_rpob	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156_rpob	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157_rpob	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158_rpob	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159_rpob	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160_rpob	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161_rpob	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162_rpob	162	183	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1
163_rpob	163	197	73	0	0	0	0	5	0	0	0	0	3	0	0	0	7
164_rpob	164	76	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165_rpob	165	44	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166_rpob	166	41	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167_rpob	167	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
168_rpob	168	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169_rpob	169	45	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170_rpob	170	93	14	0	0	0	0	3	0	0	0	0	0	0	0	0	0
seconds	seconds	20	52	5	5	5	6	15	2	1	2	1	3	1	1	1	1
total	total	4860	2747	1368	932	502	479	366	323	218	159	46	37	30	25	19	18
