	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13
34_reca	407	0	131	0	8	0	0	5	0	0	0	2	0	
35_reca	80	0	19	0	0	0	0	0	0	0	0	1	0	
36_reca	371	0	1	0	1	0	0	0	1	0	0	0	1	
37_reca	402	0	0	0	0	0	0	0	0	0	0	0	0	
38_reca	7	0	1	0	5	0	41	0	0	0	3	0	0	
39_reca	1001	0	0	0	6	0	0	0	2	0	0	0	1	
3_reca	52	0	7	0	0	0	0	0	0	0	1	1	1	
40_reca	132	0	131	0	0	0	0	0	0	0	0	2	1	
41_reca	0	0	100	0	0	0	0	0	0	0	0	0	0	
42_reca	1	0	93	0	0	0	0	0	0	0	0	0	0	
43_reca	3	0	0	0	5	0	2	0	3	0	1	0	0	
44_reca	24	0	0	0	0	0	2	0	0	0	0	0	0	
45_reca	8	0	1	0	0	0	0	0	0	0	0	0	0	
46_reca	4	0	0	0	0	0	0	0	0	0	0	0	0	
47_reca	1	0	0	0	0	0	0	0	0	0	0	0	0	
48_reca	1	0	0	0	0	0	0	0	0	0	0	0	0	
49_reca	47	0	17	0	0	0	0	0	0	0	0	1	0	
4_reca	67	0	0	0	0	0	0	0	0	0	0	0	0	
50_reca	1	86	2	0	0	0	0	0	1	0	0	0	0	
51_reca	155	0	0	5	0	1	0	0	0	0	0	0	0	
52_reca	333	0	0	18	0	4	0	0	0	0	0	0	0	
53_reca	460	0	0	22	0	8	0	0	0	0	0	0	0	
54_reca	295	0	0	36	0	9	0	0	0	0	0	0	0	
55_reca	228	0	0	178	0	95	0	0	0	0	0	0	0	
56_reca	13	0	0	6	0	2	0	0	0	0	0	0	0	
57_reca	70	0	0	16	0	5	0	0	0	0	0	0	0	
58_reca	12	0	0	6	0	0	0	0	0	0	0	0	0	
59_reca	399	0	0	32	0	0	0	0	0	0	0	0	0	
5_reca	16	0	0	1	0	0	0	0	1	0	0	0	0	
60_reca	23	0	0	2	0	3	0	0	0	0	0	0	0	
61_reca	58	0	0	68	0	1	0	0	0	0	0	0	0	
62_reca	94	0	0	9	0	4	0	0	0	0	0	0	0	
63_reca	23	0	0	17	0	0	0	0	0	0	0	0	0	
64_reca	10	0	0	4	0	0	0	0	0	0	0	0	0	
65_reca	10	0	0	61	0	9	0	0	0	0	0	0	0	
66_reca	68	0	0	17	0	5	0	0	0	0	0	0	0	
67_reca	22	0	0	7	0	2	0	0	0	0	0	0	0	
68_reca	11	0	0	33	0	1	0	0	0	0	0	0	0	
69_reca	78	0	0	0	0	2	0	0	0	0	0	0	0	
6_reca	32	0	0	0	0	0	0	0	0	0	0	0	0	
70_reca	41	0	0	7	0	6	0	0	0	0	0	0	0	
71_reca	28	0	0	8	0	0	0	0	0	0	0	0	0	
72_reca	12	0	0	3	0	0	0	0	0	0	0	0	0	
73_reca	5	0	0	1	0	5	0	0	0	0	0	0	0	
74_reca	35	0	0	5	0	4	0	0	0	0	0	0	0	
75_reca	6	0	0	0	0	0	0	0	0	0	0	0	0	
76_reca	2	0	0	1	0	0	0	0	0	0	0	0	0	
77_reca	2	0	0	0	0	0	0	0	0	0	0	0	0	
78_reca	1	0	0	0	0	0	0	0	0	0	0	0	0	
79_reca	15	0	0	0	0	1	0	0	0	0	0	0	0	
7_reca	70	0	0	7	0	0	0	0	1	0	0	0	0	
80_reca	11	0	0	3	0	0	0	0	0	0	0	0	0	
81_reca	49	0	0	4	0	9	0	0	0	0	0	0	0	
82_reca	19	0	0	5	0	0	0	0	0	0	0	0	0	
83_reca	2	0	0	0	0	0	0	0	0	0	0	0	0	
84_reca	1	0	0	0	0	0	0	0	0	0	0	0	0	
85_reca	63	0	0	1	0	0	0	0	0	0	0	0	0	
86_reca	22	0	0	15	0	4	0	0	0	0	0	0	0	
87_reca	68	0	0	9	0	0	0	0	0	0	0	0	0	
88_reca	151	0	0	3	0	0	0	0	0	0	0	0	0	
89_reca	0	0	0	0	0	0	0	0	0	0	0	0	0	
8_reca	324	0	0	1	0	0	4	0	0	0	0	0	0	
90_reca	31	0	0	17	0	7	0	0	0	0	0	0	0	
