		seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13
91_reca	91	0	419	0	0	0	0	0	0	0	0	0	0	0
92_reca	92	0	215	0	0	0	0	0	0	0	0	0	0	0
93_reca	93	0	609	0	0	0	0	0	0	0	0	0	0	0
94_reca	94	0	479	0	0	0	0	0	0	0	0	0	0	0
95_reca	95	0	558	0	0	0	0	0	0	0	0	0	0	0
96_reca	96	0	319	0	0	0	0	0	0	0	0	0	0	0
97_reca	97	0	619	0	0	0	0	0	0	0	0	0	0	0
98_reca	98	0	90	0	0	0	0	0	0	0	0	0	0	0
99_reca	99	0	480	0	0	0	0	0	0	0	0	0	0	0
100_reca	100	0	0	0	0	0	0	0	0	0	0	0	0	0
101_reca	101	0	375	0	0	0	0	0	0	0	0	0	0	0
102_reca	102	0	560	0	0	0	0	0	0	0	0	0	0	0
103_reca	103	0	362	0	0	0	0	0	0	0	0	0	0	0
104_reca	104	0	136	0	0	0	0	0	0	0	0	0	0	0
105_reca	105	0	219	0	0	0	0	0	0	0	0	0	0	0
106_reca	106	0	165	0	0	0	0	0	0	0	0	0	0	0
107_reca	107	0	249	0	0	0	0	0	0	0	0	0	0	0
108_reca	108	0	96	0	0	0	0	0	0	0	0	0	0	0
109_reca	109	0	9	0	0	0	0	0	0	0	0	0	0	0
110_reca	110	0	356	0	0	0	0	0	0	0	0	0	0	0
111_reca	111	0	11	0	0	0	0	0	0	0	0	0	0	0
112_reca	112	0	45	0	0	0	0	0	0	0	0	0	0	0
113_reca	113	0	266	0	0	0	0	0	0	0	0	0	0	0
114_reca	114	0	225	0	0	0	0	0	0	0	0	0	0	0
115_reca	115	0	81	0	0	0	0	0	0	0	0	0	0	0
116_reca	116	0	89	0	0	0	0	0	0	0	0	0	0	0
117_reca	117	0	118	0	0	0	0	0	0	0	0	0	0	0
118_reca	118	0	166	0	0	0	0	0	0	0	0	0	0	0
119_reca	119	0	569	0	0	0	0	0	0	0	0	0	0	0
120_reca	120	0	100	0	0	0	0	0	0	0	0	0	0	0
121_reca	121	0	27	0	0	0	0	0	0	0	0	0	0	0
122_reca	122	0	22	0	0	0	0	0	0	0	0	0	0	0
123_reca	123	0	7	0	0	0	0	0	0	0	0	0	0	0
124_reca	124	0	1	0	0	0	0	0	0	0	0	0	0	0
125_reca	125	0	32	0	0	0	0	0	0	0	0	0	0	0
126_reca	126	0	179	0	0	0	0	0	0	0	0	0	0	0
127_reca	127	0	391	0	0	0	0	0	0	0	0	0	0	0
128_reca	128	0	325	0	0	0	0	0	0	0	0	0	0	0
129_reca	129	0	336	0	0	0	0	0	0	0	0	0	0	0
130_reca	130	0	217	0	0	0	0	0	0	0	0	0	0	0
131_reca	131	221	0	0	0	0	0	0	0	0	0	0	0	0
132_reca	132	24	1	0	0	0	0	0	0	2	5	0	0	0
133_reca	133	25	0	0	0	0	0	0	0	0	5	0	0	0
134_reca	134	64	0	0	0	0	0	0	0	0	0	0	0	1
135_reca	135	72	0	0	0	0	0	0	0	0	0	0	0	0
136_reca	136	62	0	0	0	0	0	0	0	1	4	0	0	0
